session_id,saved_at,hive,requested_timestamp,camera,image_path,image_width_px,image_height_px,zone_x0,zone_y0,zone_x1,zone_y1,zone_area_px,image_area_px,area_ratio_suggestion,bee_count,multiplication_factor,estimated_total_bees
81ae31e3dab6,2026-08-04T15:34:11.054459+00:00,2,2024-11-29T04:00:00+00:00,h2r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r3_1minute/hive2_rpi3_241129-040003Z.jpg,4608,2592,1110.115835777126,1084.3985337243403,3356.6847507331377,2477.9469208211144,3130702.4879387002,11943936.0,3.8150977443609024,175,4.0,700.0
81ae31e3dab6,2026-08-04T15:34:11.054459+00:00,2,2024-11-29T04:00:00+00:00,h2r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r4_1minute/hive2_rpi4_241129-040002Z.jpg,4608,2592,,,,,,,,0,1.0,0.0
921b45f3d14a,2026-08-04T16:04:28.417686+00:00,2,2024-12-07T04:00:00+00:00,h2r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r1_1minute/hive2_rpi1_241207-040002Z.jpg,4608,2592,,,,,,,,239,1.0,239.0
921b45f3d14a,2026-08-04T16:04:28.417686+00:00,2,2024-12-07T04:00:00+00:00,h2r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r2_1minute/hive2_rpi2_241207-040002Z.jpg,4608,2592,,,,,,,,8,1.0,8.0
921b45f3d14a,2026-08-04T16:04:28.417686+00:00,2,2024-12-07T04:00:00+00:00,h2r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r3_1minute/hive2_rpi3_241207-040003Z.jpg,4608,2592,29.06011730205273,1043.1832844574778,3107.5351906158357,2309.031964809384,3896883.6090504904,11943936.0,3.0649968534498377,227,2.0,454.0
921b45f3d14a,2026-08-04T16:04:28.417686+00:00,2,2024-12-07T04:00:00+00:00,h2r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r4_1minute/hive2_rpi4_241207-040002Z.jpg,4608,2592,,,,,,,,0,1.0,0.0
8167b3dc2b9a,2026-08-04T16:30:14.743598+00:00,2,2024-12-29T12:00:00+00:00,h2r1,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r1_1minute/hive2_rpi1_241229-120003Z.jpg,4608,2592,-0.5,1371.5539589442815,1055.2184750733136,2587.741642228739,1283951.8064000134,11943936.0,9.302480000000003,155,4.0,620.0
8167b3dc2b9a,2026-08-04T16:30:14.743598+00:00,2,2024-12-29T12:00:00+00:00,h2r2,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r2_1minute/hive2_rpi2_241229-120002Z.jpg,4608,2592,907.9815900944938,-34.89113717823329,1649.2653958944288,763.4144998370812,591771.0407982538,11943936.0,20.18337359646485,49,2.0,98.0
8167b3dc2b9a,2026-08-04T16:30:14.743598+00:00,2,2024-12-29T12:00:00+00:00,h2r3,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r3_1minute/hive2_rpi3_241229-120003Z.jpg,4608,2592,,,,,,,,2,1.0,2.0
8167b3dc2b9a,2026-08-04T16:30:14.743598+00:00,2,2024-12-29T12:00:00+00:00,h2r4,/Users/cyrilmonette/Library/CloudStorage/SynologyDrive-data/24.11-25.01_metabolism_OH/Images/h2r4_1minute/hive2_rpi4_241229-120002Z.jpg,4608,2592,,,,,,,,1,1.0,1.0
